"","KOD_SZS","NAZWA_ST","WMO_CBDH"
"1",354150100,"KO£OBRZEG-DèWIRZYNO",100
"2",354160105,"KOSZALIN",105
"3",354160115,"USTKA",115
"4",354170120,"£EBA",120
"5",354180135,"HEL",135
"6",354180150,"GDA—SK-R BIECHOWO",150
"7",354180155,"GDA—SK-åWIBNO",155
"8",354190160,"ELBL•G-MILEJEWO",160
"9",354210185,"K TRZYN",185
"10",354220195,"SUWA£KI",195
"11",353140200,"åWINOUJåCIE",200
"12",353140205,"SZCZECIN",205
"13",353150210,"RESKO-SM”LSKO",210
"14",353160215,"SZCZECINEK",215
"15",353160230,"PI£A",230
"16",353170235,"CHOJNICE",235
"17",353180250,"TORU—",250
"18",353200270,"M£AWA",270
"19",353200272,"OLSZTYN",272
"20",353210280,"MIKO£AJKI",280
"21",353210285,"OSTRO£ KA",285
"22",353230295,"BIA£YSTOK",295
"23",352150300,"GORZ”W WIELKOPOLSKI",300
"24",352140310,"S£UBICE",310
"25",352160330,"POZNA—-£AWICA",330
"26",352180345,"KO£O-RADOSZEWICE",345
"27",352190360,"P£OCK",360
"28",352200375,"WARSZAWA-OK CIE",375
"29",352220385,"SIEDLCE",385
"30",352230399,"TERESPOL",399
"31",351150400,"ZIELONA G”RA",400
"32",351160415,"LEGNICA",415
"33",351160418,"LESZNO",418
"34",351160424,"WROC£AW-STRACHOWICE",424
"35",351180435,"KALISZ",435
"36",351180455,"WIELU—",455
"37",351190465,"£”Dè-LUBLINEK",465
"38",351190469,"SULEJ”W",469
"39",351210488,"KOZIENICE",488
"40",351220495,"LUBLIN-RADAWIEC",495
"41",351230497,"W£ODAWA",497
"42",350150500,"JELENIA G”RA",500
"43",350150510,"åNIEØKA",510
"44",350160520,"K£ODZKO",520
"45",350170530,"OPOLE",530
"46",350180540,"RACIB”RZ",540
"47",350190550,"CZ STOCHOWA",550
"48",350190560,"KATOWICE-MUCHOWIEC",560
"49",350190566,"KRAK”W-BALICE",566
"50",350200570,"KIELCE-SUK”W",570
"51",350200575,"TARN”W",575
"52",350220580,"RZESZ”W-JASIONKA",580
"53",350210585,"SANDOMIERZ",585
"54",350230595,"ZAMOå∆",595
"55",349190600,"BIELSKO-BIA£A",600
"56",349190625,"ZAKOPANE",625
"57",349190650,"KASPROWY WIERCH",650
"58",349200660,"NOWY S•CZ",660
"59",349210670,"KROSNO",670
"60",349220690,"LESKO",690
"61",349220695,"PRZEMYåL",695
"62",254200080,"LIDZBARK WARMI—SKI",1601
"63",254220090,"OLECKO",1802
"64",253150190,"PRZELEWICE",2102
"65",253220070,"BIEBRZA",2802
"66",253230020,"R”ØANYSTOK",2901
"67",252150120,"GORZY—",3101
"68",252160230,"WIELICHOWO",3206
"69",252170210,"K”RNIK",3305
"70",252180080,"KO£UDA WIELKA",3403
"71",252200060,"POåWI TNE",3602
"72",252200120,"LEGIONOWO",3603
"73",252200150,"WARSZAWA-BIELANY",3604
"74",252210050,"PU£TUSK",3701
"75",252220030,"SZEPIETOWO",3801
"76",252230120,"BIA£OWIEØA",3902
"77",251170090,"SMOLICE",4302
"78",251190050,"PUCZNIEW",4503
